paper_id,title,year,domain,gpu_type,gpu_count,training_hours,parameters_millions,estimated_gpu_hours,confidence,suppression_score,num_ablations,num_seeds,constraints_mentioned
c81f0bbb04c7a1baa8dadf52f0d38a77,EditNTS: An Neural Programmer-Interpreter Model for Sentence Simplification through Explicit Editing,2019,NLP,,,,,,0.2,0.0,,,False
9320c1d4c6252e0f039bc4988b5cf955,MelGAN: Generative Adversarial Networks for Conditional Waveform Synthesis,2019,CV,,,,,,0.0,0.0,,,False
9e873ad17efbfcc5b713ffa262f66ff0,Saliency Based Deep Neural Network for Automatic Detection of Gadolinium-Enhancing Multiple Sclerosi,2019,CV,,,,,,0.0,0.0,,,False
9cf41f36512aa437a8b30b8b2323c0c2,Improving Pathological Structure Segmentation via Transfer Learning Across Diseases,2019,CV,,,,,,0.0,0.0,,,False
d3402e1b9d01b3d63cc8d65c4cf1a667,A Geometric Perspective on Optimal Representations for Reinforcement Learning,2019,RL,,,,,,0.0,0.0,,,False
955f3e5284555e6193d3b303cc5eca2f,Real-Time Reinforcement Learning,2019,RL,,,,,,0.0,0.0,,,False
8e6c4c239815db8a807fe08e517391db,No Press Diplomacy: Modeling Multi-Agent Gameplay,2019,RL,,,,,,0.0,0.0,,,False
f365b00561590e25ef5a8fa2b3a42cc9,Updates of Equilibrium Prop Match Gradients of Backprop Through Time in an RNN with Static Input,2019,NLP,,,,,,0.2,0.0,,,False
f061e35996d6d07dfbd3b0b6320382c3,Interpolation Consistency Training for Semi-Supervised Learning,2019,NLP,,,,,,0.0,0.0,,,False
9e949ecf7c27b7799b1dbfdaf41529c2,Forgetting at biologically realistic levels of neurogenesis in a large-scale hippocampal model,2019,NLP,,,,,,0.0,0.0,,,False
e54a3691d575e7df6fe5309d1ee730b3,A deep learning framework for neuroscience,2019,NLP,,,,,,0.0,0.0,,,False
85f04b0157d36697de31d75501a7b744,The effect of task and training on intermediate representations in convolutional neural networks rev,2019,NLP,,,,,,0.0,0.0,,,False
84d26193212a4cd86d90014c5fc350b7,Supervised Seeded Iterated Learning for Interactive Language Learning,2020,NLP,,,,,,0.0,0.0,,,False
874621575f82bbfe9f173697336f400f,Multi-XScience: A Large-scale Dataset for Extreme Multi-document Summarization of Scientific Article,2020,NLP,,,,,,0.2,0.0,,,False
d08c23d5a7750f0ad526f39797b1046e,On the Systematicity of Probing Contextualized Word Representations: The Case of Hypernymy in BERT.,2020,NLP,,,,,,0.0,0.0,,,False
b6cd60f568212820a069df1b617477cd,DiVA: Diverse Visual Feature Aggregation for Deep Metric Learning,2020,CV,,,,,,0.0,0.0,,,False
8192522d720c528f2d024f8eee61e0fb,Unsupervised Learning of Dense Visual Representations,2020,CV,,,,,,0.0,0.0,,,False
81e219ea39c1dfda9e16d09eda4a0c8a,Laplacian Change Point Detection for Dynamic Graphs,2020,CV,,,,,,0.0,0.0,,,False
802a7c9e0317a5a215f9483a219f223f,Joint Learning of Generative Translator and Classifier for Visually Similar Classes,2020,CV,,,,,,0.2,0.0,,,False
cf8feb2c058db1827d64d1bbe5920be4,"Models of Human Behavioral Agents in Bandits, Contextual Bandits and RL",2020,RL,,,,,,0.0,0.0,,,False
9bd01bf4a509f3230a27ca5d0d90855f,Learning the Arrow of Time for Problems in Reinforcement Learning.,2020,RL,,,,,,0.0,0.0,,,False
843dfafaef54d98de96c97fc9b6c9133,Autonomous navigation of stratospheric balloons using reinforcement learning,2020,RL,,,,,,0.0,0.0,,,False
cba8f89440f95c9d3abbcec9ac83cdc8,COVI-AgentSim: an Agent-based Model for Evaluating Methods of Digital Contact Tracing,2020,RL,,,,,,0.0,0.0,,,False
c4d60c378db51aa9e9cce80f849acfa0,Dark control: The default mode network as a reinforcement learning agent,2020,RL,,,,,,0.0,0.0,,,False
9434aa65534a76241a5c741b92f946be,What can I do here? A Theory of Affordances in Reinforcement Learning,2020,RL,,,,,,0.0,0.0,,,False
85e7d1466c624350b5bdd5bd792af0ba,Combating False Negatives in Adversarial Imitation Learning (Student Abstract),2020,NLP,,,,,,0.0,0.0,,,False
b667bf32169ec29a7c50d6225e6d43a4,Hybrid Models for Learning to Branch,2020,NLP,,,,,,0.0,0.0,,,False
9c0792986bc6ffe02ba041e0f6341411,Extracting Weighted Automata for Approximate Minimization in Language Modelling,2021,NLP,,,,,,0.0,0.0,,,False
9e790c2edf4d636b8edde85280e88491,StructFormer: Joint Unsupervised Induction of Dependency and Constituency Structure from Masked Lang,2021,NLP,,,,,,0.0,0.0,,,False
9f70ef147d85413650bd1e664653edcd,StereoSet: Measuring stereotypical bias in pretrained language models,2021,NLP,,,,,,0.2,0.0,,,False
9d5a9c73f5d48b60d175a287eae190c7,Your head is there to move you around: Goal-driven models of the primate dorsal pathway,2021,CV,,,72.0,,,0.3666666666666667,0.0,,,False
8727d222008125cc23f682783088f2e8,A Novel Neural Network-Based Malware Severity Classification System,2021,CV,,,,,,0.0,0.0,,,False
908aae73b86ca119e7a47dc0234f2592,From Generative Models to Generative Passages: A Computational Approach to (Neuro) Phenomenology,2021,CV,,,,,,0.0,0.0,,,False
8fdf0f3edf637f6f502fd4f9c8bd5117,Faults in deep reinforcement learning programs: a taxonomy and a detection approach,2021,CV,,,,,,0.0,0.0,,,False
