paper_id,title,year,domain_type,domain_name,justification,quote,aliases
def5cb144365b784152d6db59e96330d,Towards Enhancing the Reproducibility of Deep Learning Bugs: An Empirical Study,2024,primary,Software Engineering,"The main focus of the paper is on the empirical study of deep learning bug reproducibility, a topic primarily in the field of Software Engineering.",Towards Enhancing the Reproducibility of Deep Learning Bugs: An Empirical Study,[]
d5f73acf1d3717e9b02ee2077e4d39d5,"Reinforcement Learning for Versatile, Dynamic, and Robust Bipedal Locomotion Control",2025,primary,Reinforcement Learning for Robotics,The primary research focus is on developing reinforcement learning algorithms for controlling bipedal robot locomotion.,"This paper presents a comprehensive study on using
deep reinforcement learning (RL) to create dynamic locomotion controllers for bipedal robots.",['RL for Robotics']
b0d42dd21895be41779d5b20775cfac1,Generalization Limits of Graph Neural Networks in Identity Effects Learning,2025,primary,Deep Learning,"The content discussed, such as Graph Neural Networks and their expressive power, falls squarely within the field of Deep Learning.",Graph Neural Networks (GNNs) have emerged as a powerful tool for data-driven learning on various graph domains.,[]
a0753c8524ebc0eeda182ac1880e77e7,Pruning Sparse Tensor Neural Networks Enables Deep Learning for 3D Ultrasound Localization Microscopy,2025,primary,Deep Learning,The focus of the paper is on the application of deep learning techniques to improve 3D Ultrasound Localization Microscopy.,"Index Terms—Deep Learning, 3D imaging, Ultrasound Localization Microscopy (ULM), Sparse Tensor Neural Networks",[]
9b938813f44875a003a10357861f8ca9,Towards contrast-agnostic soft segmentation of the spinal cord,2025,primary,Computer Vision,"The research focuses on improving spinal cord segmentation in MRI images, which is a relevant problem in the field of computer vision, a subfield of artificial intelligence focused on training computers to interpret and understand the visual world.","Spinal cord segmentation is clinically relevant, notably to compute cross-sectional area (CSA) for the diagnosis and monitoring of atrophy in multiple sclerosis (MS), spinal cord injury (SCI), and in characterizing spinal cord compression.",[]
963ae27d710dd24347431e36743b2770,Ex Post Conditions for the Exactness of Optimal Power Flow Conic Relaxations,2025,primary,Optimization,The paper is focused on optimization problems related to power flow in electrical grids.,Convex relaxations of the optimal power flow (OPF) problem provide an efficient alternative to solving the intractable alternating current (AC) optimal power flow.,[]
87ab5d343e9e8fe30ff6b5b5601a275c,Multimodal and Force-Matched Imitation Learning with a See-Through Visuotactile Sensor,2025,primary,Robotic Manipulation,The paper is primarily focused on robotic manipulation and improving performance in contact-rich tasks through imitation learning and the use of a visuotactile sensor.,"This paper aims to learn robot policies for door opening that are more in line with human manipulation, by leveraging high-resolution visual and tactile feedback to control the contact interactions between the robot end-effector and the handle.","['Robot Manipulation', 'Manipulation']"
b96ebdf56345e35cfe1e0e1937252f13,Harnessing Pre-trained Generalist Agents for Software Engineering Tasks,2024,primary,Reinforcement Learning,The paper focuses on using reinforcement learning algorithms for software engineering tasks.,"Recently, DRL has been increasingly leveraged in Software Engineering (SE) tasks, thanks to the availability of DRL algorithms such as Proximal Policy Optimization (PPO), Advantage Actor Critic (A2C), Deep Q-Networks (DQN) that can train agents to accomplish the task at hand.",['DRL']
d938ec977662ca08e840eb4b729b1231,Combining supervised learning and local search for the multicommodity capacitated fixed-charge network design problem,2024,primary,Optimization,"The paper deals with designing solutions for an optimization problem, specifically in network design, using machine learning and local search algorithms.","explore how a data-driven approach can help improve upon the state of the art. By leveraging machine learning models, we attempt to reveal patterns hidden in the data...",['Combinatorial Optimization']
c12285d501082902f649ee0390a14dbb,Evaluating the effectiveness of the Smart About Meds (SAM) mobile application among patients discharged from hospital: protocol of a randomised controlled trial,2024,primary,Healthcare Informatics,"The primary focus of the research is on using a mobile application for medication management post-hospital discharge, which falls under the domain of healthcare informatics.","This protocol, funded by the Canadian Institutes of Health Research (grant number 470182), describes our planned randomised controlled trial (RCT) to evaluate Smart About Meds (SAM), an innovative, patient-centred medication management mobile application.",['Health Informatics']
